date,content,lang,sourceLabel,hashtags,user.verified,user.created,user.location,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Gila ke ape IsmailSabri duk tayang pasal family dia sedangkan ramai families di luar sana byk yg kehilangan orang yg tersayang Memang tak ade sensitivity langsung media amp jugak IsmailSabri NotMyPM LawanTetapLawan,in,Twitter for iPhone,"['NotMyPM', 'LawanTetapLawan']",FALSE,18/12/2009,"iium, gombak",,,,,,,,,,,,,,,,,,,,,
22/08/2021,Kita tidak gagal Cuma belum berjaya LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,11/11/2016,"Selangor, Malaysia",,,,,,,,,,,,,,,,,,,,,
22/08/2021,MN UMNO PAS BN UMNO MCA MIC March ke Ogos PN BERSATU PAS GPS GERAKAN BN So govt skrg masih PN lah kan tukar driver jer LawanTetapLawan KerajaanGagal,in,Twitter for iPhone,"['LawanTetapLawan', 'KerajaanGagal2']",FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Kami perlukan anda sertai KEADILAN dengan klik pautan di bawah LawanTetapLawan AkuKEADILAN,in,Twitter for Android,"['LawanTetapLawan', 'AkuKEADILAN']",FALSE,26/05/2014,"Johor Bahru, Johor",,,,,,,,,,,,,,,,,,,,,
21/08/2021,Buat para pendengar setia space zack rockstar dijemput sertai kami disini BicaraRakyat LawanTetapLawan,in,Twitter for iPhone,"['BicaraRakyat', 'LawanTetapLawan']",FALSE,23/06/2012,Shah Alam,,,,,,,,,,,,,,,,,,,,,
21/08/2021,As if this is a talent show and you are an opportunity for your dad How to give an opportunity when we already know your dad is useless Sorry dont beg for the opportunity sebab LawanTetapLawan,en,Twitter for Android,['LawanTetapLawan'],FALSE,18/09/2012,"Perak,Ipoh,Meru",,,,,,,,,,,,,,,,,,,,,
21/08/2021,anwaribrahim LawanTetapLawan,und,Twitter for Android,['LawanTetapLawan'],FALSE,25/09/2011,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Saya teguh bersama Datuk Seri anwaribrahim Reformasi Reformasi Reformasi Lawan Tetap Lawannnnn reformasi DSAIPM PRU LawanTetapLawan,in,Twitter for iPhone,"['reformasi', 'DSAI4PM', 'PRU15', 'LawanTetapLawan']",FALSE,14/02/2019,Wilayah Persekutuan Kuala Lump,,,,,,,,,,,,,,,,,,,,,
21/08/2021,anwaribrahim DSAI tetap Hati kita LawanTetapLawan PRU,in,Twitter for iPhone,"['LawanTetapLawan', 'PRU15']",FALSE,21/11/2012,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,pakatanharapan fmt staronline nst UMonline aliranmalaysia beritaharian Malaysia LawanTetapLawan malaymail Malaysiakini anwaribrahim Zahed with the help of opposition amp lawan black thingi screwed up the reform agenda and got UMNO cleptos back in power Well done,en,Twitter for Android,"['pakatanharapan', 'Malaysia', 'LawanTetapLawan', 'Malaysiakini']",FALSE,08/04/2019,,,,,,,,,,,,,,,,,,,,,,
